GENENAME,CHEMBL_ID
MGA,CHEMBL2074
MGAM,CHEMBL2074
MGAML,CHEMBL2074
ABCC9,CHEMBL1971
SUR2,CHEMBL1971
PDE5,CHEMBL1827
PDE5A,CHEMBL1827
CACNA1H,CHEMBL1859
DHFR,CHEMBL202
folA,CHEMBL1809
tmrA ,CHEMBL1809
ABL,CHEMBL1862
ABL1,CHEMBL1862
JTK7,CHEMBL1862
EGFR,CHEMBL203
ERBB,CHEMBL203
ERBB1,CHEMBL203
HER1,CHEMBL203
groN,CHEMBL1852
nitB,CHEMBL1852
rif,CHEMBL1852
ron,CHEMBL1852
rpoB,CHEMBL1852
stl,CHEMBL1852
stv,CHEMBL1852
tabD,CHEMBL1852
F2,CHEMBL204
PLG,CHEMBL1801
bla,CHEMBL2065
blaT-3,CHEMBL2065
blaT-4,CHEMBL2065
blaT-5,CHEMBL2065
blaT-6,CHEMBL2065
ADA,CHEMBL1910
ADA1,CHEMBL1910
CA2,CHEMBL205
AT3 ,CHEMBL1950
SERPINC1,CHEMBL1950
mrcA,CHEMBL1813
ponA ,CHEMBL1813
ESR,CHEMBL206
ESR1,CHEMBL206
NR3A1,CHEMBL206
NA,CHEMBL2051
M,CHEMBL2052
KLK3,CHEMBL2000
KLKB1,CHEMBL2000
HMGCR,CHEMBL402
GRL,CHEMBL2034
NR3C1,CHEMBL2034
TS ,CHEMBL1952
TYMS,CHEMBL1952
ATP1A1,CHEMBL1807
ALDH2,CHEMBL1935
ALDM,CHEMBL1935
CYP11A,CHEMBL2033
CYP11A1,CHEMBL2033
TUBB2C,CHEMBL1848
TUBB4B,CHEMBL1848
FNRB,CHEMBL1905
ITGB1,CHEMBL1905
MDF2,CHEMBL1905
MSK12,CHEMBL1905
INSR,CHEMBL1981
NR3C3,CHEMBL208
PGR,CHEMBL208
cou,CHEMBL1826
gyrB,CHEMBL1826
himB,CHEMBL1826
hisU,CHEMBL1826
nalC,CHEMBL1826
EPHX,CHEMBL1968
EPHX1,CHEMBL1968
EPOX,CHEMBL1968
TH,CHEMBL1969
TYH,CHEMBL1969
TPO,CHEMBL1839
ADH1,CHEMBL1970
ADH1A,CHEMBL1970
PRSS1,CHEMBL209
TRP1,CHEMBL209
TRY1,CHEMBL209
TRYP1,CHEMBL209
ADRB2,CHEMBL210
ADRB2R,CHEMBL210
B2AR,CHEMBL210
ddl ,CHEMBL1956
ddlB,CHEMBL1956
mrdA,CHEMBL1840
CHRM2,CHEMBL211
MCR,CHEMBL1994
MLR,CHEMBL1994
NR3C2,CHEMBL1994
GP2B,CHEMBL212
ITGA2B,CHEMBL212
ITGAB,CHEMBL212
ADRB1,CHEMBL213
ADRB1R,CHEMBL213
B1AR,CHEMBL213
ADRB2RL1,CHEMBL214
ADRBRL1,CHEMBL214
HTR1A,CHEMBL214
ADRA2A,CHEMBL1867
ADRA2R,CHEMBL1867
ADRAR,CHEMBL1867
gyrA,CHEMBL1858
nalA,CHEMBL1858
parD,CHEMBL1858
POLA,CHEMBL1828
POLA1,CHEMBL1828
ALOX5,CHEMBL215
LOG5,CHEMBL215
AR,CHEMBL1871
DHTR,CHEMBL1871
NR3C4,CHEMBL1871
NR1B1,CHEMBL2055
RARA,CHEMBL2055
CYP51,CHEMBL1780
ERG11,CHEMBL1780
ERG16 ,CHEMBL1780
EAR7,CHEMBL1860
ERBA1,CHEMBL1860
NR1A1,CHEMBL1860
THRA,CHEMBL1860
THRA1,CHEMBL1860
THRA2,CHEMBL1860
GHR,CHEMBL1976
CHRM1,CHEMBL216
TOP1,CHEMBL1781
TOP2,CHEMBL1806
TOP2A,CHEMBL1806
NR1I1,CHEMBL1977
VDR,CHEMBL1977
ARO1,CHEMBL1978
CYAR,CHEMBL1978
CYP19,CHEMBL1978
CYP19A1,CHEMBL1978
IMPD2,CHEMBL2002
IMPDH2,CHEMBL2002
ACE,CHEMBL1808
DCP,CHEMBL1808
DCP1,CHEMBL1808
FDPS,CHEMBL1782
FPS,CHEMBL1782
KIAA1293,CHEMBL1782
DRD2,CHEMBL217
TYR,CHEMBL1973
GABRA1,CHEMBL1962
CYP11B1,CHEMBL1908
S11BH,CHEMBL1908
PNLIP,CHEMBL1812
LGR3,CHEMBL1963
TSHR,CHEMBL1963
SRD5A1,CHEMBL1787
FKBP1,CHEMBL1902
FKBP12,CHEMBL1902
FKBP1A,CHEMBL1902
CD33,CHEMBL1842
SIGLEC3,CHEMBL1842
AADC,CHEMBL1843
DDC,CHEMBL1843
IMPD1,CHEMBL1822
IMPDH1,CHEMBL1822
MAOA,CHEMBL1951
CNR,CHEMBL218
CNR1,CHEMBL218
DRD1,CHEMBL2056
RYDR,CHEMBL1846
RYR1,CHEMBL1846
DRD4,CHEMBL219
COMT,CHEMBL2023
ACHE,CHEMBL220
CYP7,CHEMBL1851
CYP7A1,CHEMBL1851
LCGR,CHEMBL1854
LGR2,CHEMBL1854
LHCGR,CHEMBL1854
LHRHR,CHEMBL1854
COX1,CHEMBL221
PTGS1,CHEMBL221
CYPB,CHEMBL2075
PPIB,CHEMBL2075
RR1,CHEMBL1830
RRM1,CHEMBL1830
FSHR,CHEMBL2024
LGR1,CHEMBL2024
NAT1,CHEMBL222
NET1,CHEMBL222
SLC6A2,CHEMBL222
SLC6A5,CHEMBL222
HRH2,CHEMBL1941
ADRA1A,CHEMBL223
ADRA1D,CHEMBL223
MAOB,CHEMBL2039
HTR1D,CHEMBL1983
HTR1DA,CHEMBL1983
HTRL,CHEMBL1983
HTR1B,CHEMBL1898
HTR1DB,CHEMBL1898
HTR2,CHEMBL224
HTR2A,CHEMBL224
HTR1C,CHEMBL225
HTR2C,CHEMBL225
murA,CHEMBL1984
murZ,CHEMBL1984
envM ,CHEMBL1857
fabI,CHEMBL1857
IMPA,CHEMBL1786
IMPA1,CHEMBL1786
ADHR,CHEMBL1790
AVPR2,CHEMBL1790
DIR,CHEMBL1790
DIR3,CHEMBL1790
V2R,CHEMBL1790
GABATR,CHEMBL1903
GABT1,CHEMBL1903
GAT1,CHEMBL1903
SLC6A1,CHEMBL1903
ADORA1,CHEMBL226
AGTR1,CHEMBL227
AGTR1A,CHEMBL227
AGTR1B,CHEMBL227
AT2R1,CHEMBL227
AT2R1B,CHEMBL227
OXTR,CHEMBL2049
SSTR2,CHEMBL1804
GNRHR,CHEMBL1855
GRHR,CHEMBL1855
CALCR,CHEMBL1832
SRD5A2,CHEMBL1856
HTT,CHEMBL228
SERT,CHEMBL228
SLC6A4,CHEMBL228
ERG1,CHEMBL1888
HPD,CHEMBL1861
PPD,CHEMBL1861
CRFR,CHEMBL1800
CRFR1,CHEMBL1800
CRHR,CHEMBL1800
CRHR1,CHEMBL1800
ADRA1A,CHEMBL229
ADRA1C,CHEMBL229
COX2,CHEMBL230
PTGS2,CHEMBL230
HRH1,CHEMBL231
ADRA1B,CHEMBL232
MOR1,CHEMBL233
OPRM1,CHEMBL233
DRD3,CHEMBL234
NAC1,CHEMBL1845
SCN1,CHEMBL1845
SCN1A,CHEMBL1845
SCNN1,CHEMBL1791
SCNN1A,CHEMBL1791
NR1C3,CHEMBL235
PPARG,CHEMBL235
AVPR1,CHEMBL1889
AVPR1A,CHEMBL1889
OPRD,CHEMBL236
OPRD1,CHEMBL236
OPRK,CHEMBL237
OPRK1,CHEMBL237
OOR,CHEMBL2014
OPRL1,CHEMBL2014
ORL1,CHEMBL2014
ileS,CHEMBL1982
PTGFR,CHEMBL1987
PTGER2,CHEMBL1881
PRIPR,CHEMBL1995
PTGIR,CHEMBL1995
5HT3R,CHEMBL1899
HTR3,CHEMBL1899
HTR3A,CHEMBL1899
inhA,CHEMBL1849
GCGR,CHEMBL1985
SCTR,CHEMBL1925
AVPR1B,CHEMBL1921
AVPR3,CHEMBL1921
VPR3,CHEMBL1921
XDH,CHEMBL1929
XDHA,CHEMBL1929
CACNA2D1,CHEMBL1919
CACNL2A,CHEMBL1919
CCHL2A,CHEMBL1919
MHS3,CHEMBL1919
NCC,CHEMBL1876
SLC12A3,CHEMBL1876
TSC,CHEMBL1876
embA,CHEMBL1877
ABAT,CHEMBL2044
GABAT,CHEMBL2044
ACTHR,CHEMBL1965
MC2R,CHEMBL1965
DAT1,CHEMBL238
SLC6A3,CHEMBL238
DHODH,CHEMBL1966
GHRHR,CHEMBL2032
COB,CHEMBL1777
CYTB,CHEMBL1777
MTCYB,CHEMBL1777
MT-CYB,CHEMBL1777
PTH1R,CHEMBL1793
PTHR,CHEMBL1793
PTHR1,CHEMBL1793
GRIN1,CHEMBL2015
NMDAR1,CHEMBL2015
SLC18A2,CHEMBL1893
SVMT,CHEMBL1893
VMAT2,CHEMBL1893
NR1C1,CHEMBL239
PPAR,CHEMBL239
PPARA,CHEMBL239
ABCC8,CHEMBL2071
HRINS,CHEMBL2071
SUR,CHEMBL2071
SUR1,CHEMBL2071
ERG,CHEMBL240
ERG1,CHEMBL240
HERG,CHEMBL240
KCNH2,CHEMBL240
GRIN2A,CHEMBL1972
NMDAR2A,CHEMBL1972
NKCC2,CHEMBL1874
SLC12A1,CHEMBL1874
HTR4,CHEMBL1875
CACH2,CHEMBL1940
CACN2,CHEMBL1940
CACNA1C,CHEMBL1940
CACNL1A1,CHEMBL1940
CCHL1A1,CHEMBL1940
PDE3A,CHEMBL241
GRIM12,CHEMBL1927
KDRF,CHEMBL1927
TXNRD1,CHEMBL1927
ESR2,CHEMBL242
ESTRB,CHEMBL242
NR3A2,CHEMBL242
ENT1,CHEMBL1997
SLC29A1,CHEMBL1997
HORK3,CHEMBL2001
P2RY12,CHEMBL2001
DHFR,CHEMBL2057
CYSLT1,CHEMBL1798
CYSLTR1,CHEMBL1798
CYPA,CHEMBL1949
PPIA,CHEMBL1949
CD20,CHEMBL2058
MS4A1,CHEMBL2058
IL2RA,CHEMBL1778
S,CHEMBL1928
FOLH,CHEMBL1892
FOLH1,CHEMBL1892
NAALAD1,CHEMBL1892
PSM,CHEMBL1892
PSMA ,CHEMBL1892
TNF,CHEMBL1825
TNFA,CHEMBL1825
TNFSF2,CHEMBL1825
tetX,CHEMBL2036
VEGF,CHEMBL1783
VEGFA,CHEMBL1783
ERBB2,CHEMBL1824
HER2,CHEMBL1824
MLN19,CHEMBL1824
NEU,CHEMBL1824
NGL,CHEMBL1824
CD11A,CHEMBL1803
ITGAL,CHEMBL1803
pol,CHEMBL243
F9,CHEMBL2016
F10,CHEMBL244
LTA,CHEMBL2059
TNFB,CHEMBL2059
TNFSF1,CHEMBL2059
CD2,CHEMBL2040
SRBC,CHEMBL2040
PDGFR,CHEMBL1913
PDGFR1,CHEMBL1913
PDGFRB,CHEMBL1913
IL1R,CHEMBL1959
IL1R1,CHEMBL1959
IL1RA,CHEMBL1959
IL1RT1,CHEMBL1959
IFNAR,CHEMBL1887
IFNAR1,CHEMBL1887
EPOR,CHEMBL1817
CD52,CHEMBL1912
CDW52,CHEMBL1912
HE5,CHEMBL1912
IL11RA,CHEMBL2050
CSF3R,CHEMBL1996
GCSFR,CHEMBL1996
CELA1,CHEMBL3000
ELA1,CHEMBL3000
mrcB,CHEMBL1814
pbpF,CHEMBL1814
ponB ,CHEMBL1814
TK,CHEMBL1820
CHRM4,CHEMBL1821
CHRM5,CHEMBL2035
ADRA2B,CHEMBL1942
ADRA2L1,CHEMBL1942
ADRA2RL1,CHEMBL1942
ADRA2C,CHEMBL1916
ADRA2L2,CHEMBL1916
ADRA2RL2,CHEMBL1916
CHRM3,CHEMBL245
DRD1B,CHEMBL1850
DRD1L2,CHEMBL1850
DRD5,CHEMBL1850
GABRB2,CHEMBL1920
GRIN2B,CHEMBL1904
NMDAR2B,CHEMBL1904
HBRR,CHEMBL2062
RYR3,CHEMBL2062
VKOR ,CHEMBL1930
VKORC1,CHEMBL1930
ADRB3,CHEMBL246
ADRB3R,CHEMBL246
B3AR,CHEMBL246
HTR2B,CHEMBL1833
pol,CHEMBL247
IGHE,CHEMBL1834
LIPD,CHEMBL2060
LPL,CHEMBL2060
CD3E,CHEMBL1975
T3E,CHEMBL1975
IGF1R,CHEMBL1957
ELA2,CHEMBL248
ELANE,CHEMBL248
EPN,CHEMBL1944
MME,CHEMBL1944
LTA4,CHEMBL4618
LTA4H,CHEMBL4618
KIT,CHEMBL1936
SCFR,CHEMBL1936
NR1B3,CHEMBL2003
RARG,CHEMBL2003
3BH,CHEMBL1958
HSD3B1,CHEMBL1958
HSDB3A,CHEMBL1958
AKR1B1,CHEMBL1900
ALDR1,CHEMBL1900
ALR2,CHEMBL1900
ANPEP,CHEMBL1907
APN,CHEMBL1907
CD13,CHEMBL1907
PEPN,CHEMBL1907
ANPRA,CHEMBL1988
NPR1,CHEMBL1988
DPEP1,CHEMBL1989
MDP,CHEMBL1989
RDP,CHEMBL1989
TBXA2R,CHEMBL2069
EDNRB,CHEMBL1785
ETRB,CHEMBL1785
CYP5,CHEMBL1835
CYP5A1,CHEMBL1835
TBXAS1,CHEMBL1835
EDNRA,CHEMBL252
ETA,CHEMBL252
ETRA,CHEMBL252
NK1R,CHEMBL249
TAC1R,CHEMBL249
TACR1,CHEMBL249
PAFR,CHEMBL250
PTAFR,CHEMBL250
ADORA2,CHEMBL251
ADORA2A,CHEMBL251
ERG2,CHEMBL3224
CB2A,CHEMBL253
CB2B,CHEMBL253
CNR2,CHEMBL253
TRHR,CHEMBL1810
PTGER1,CHEMBL1811
PTGER2,CHEMBL1836
PTGER4,CHEMBL1836
TPR,CHEMBL1837
MPL,CHEMBL1864
TPOR,CHEMBL1864
NR2B3,CHEMBL2004
RXRG,CHEMBL2004
SLC18A1,CHEMBL1838
VAT1,CHEMBL1838
VMAT1,CHEMBL1838
HAP,CHEMBL2008
NR1B2,CHEMBL2008
RARB,CHEMBL2008
ERBA2,CHEMBL1947
NR1A2,CHEMBL1947
THR1,CHEMBL1947
THRB,CHEMBL1947
ODC1,CHEMBL1869
NR2B1,CHEMBL2061
RXRA,CHEMBL2061
DPDE2,CHEMBL254
PDE4A,CHEMBL254
NR2B2,CHEMBL1870
RXRB,CHEMBL1870
ADORA2B,CHEMBL255
HTR1EL,CHEMBL1805
HTR1F,CHEMBL1805
ADORA3,CHEMBL256
CASR,CHEMBL1878
PCAR1,CHEMBL1878
ALDH5A1,CHEMBL1911
SSADH,CHEMBL1911
KCNJ11,CHEMBL1886
UGCG,CHEMBL2063
parC,CHEMBL1895
AIM,CHEMBL1993
CXXC9,CHEMBL1993
DNMT,CHEMBL1993
DNMT1,CHEMBL1993
DNMT3A,CHEMBL1992
TUBA1,CHEMBL2070
TUBA4A,CHEMBL2070
PPPK-DHPS,CHEMBL2013
rpoB,CHEMBL2006
ddl,CHEMBL2030
alr,CHEMBL2031
NPC1L1,CHEMBL2027
CaFKS1,CHEMBL2037
SMPD2,CHEMBL4712
CPSD,CHEMBL2581
CTSD,CHEMBL2581
ACBP,CHEMBL4713
CPN1,CHEMBL4713
Cdk4,CHEMBL2134
Crk3,CHEMBL2134
CCNA,CHEMBL2582
CCNA2,CHEMBL2582
Oprk1,CHEMBL4329
HCRTR1,CHEMBL5113
P2rx2,CHEMBL2135
KCNQ1,CHEMBL5135
P2RY6,CHEMBL4714
PLA2G1B,CHEMBL4715
PTAFR,CHEMBL5136
CYSLT2,CHEMBL4330
CYSLT2R ,CHEMBL4330
CYSLTR2,CHEMBL4330
PDE7B,CHEMBL4716
PGC,CHEMBL2136
PPP2R5A,CHEMBL4763
Htr2b,CHEMBL2583
Htr7,CHEMBL4764
Acra2,CHEMBL2584
Chrna2,CHEMBL2584
Acra9,CHEMBL2585
Chrna9,CHEMBL2585
Agtr2,CHEMBL257
ampA ,CHEMBL2026
ampC,CHEMBL2026
JUN,CHEMBL4977
APOB,CHEMBL4549
ADRB2,CHEMBL3373
BAD,CHEMBL3817
BBC6,CHEMBL3817
BCL2L8,CHEMBL3817
blaZ,CHEMBL4114
BDKRB2,CHEMBL3157
BKR2,CHEMBL3157
IBP6,CHEMBL2139
IGFBP6,CHEMBL2139
Il2,CHEMBL2466
Il-2,CHEMBL2466
CXCL8,CHEMBL2157
IL8,CHEMBL2157
Trhr,CHEMBL2467
ips,CHEMBL3158
pcbC,CHEMBL3158
PRSS2,CHEMBL3159
TRY2,CHEMBL3159
TRYP2,CHEMBL3159
CK2A1,CHEMBL3629
CSNK2A1,CHEMBL3629
Tyms,CHEMBL3160
ART1,CHEMBL2158
NDPKA,CHEMBL2159
NM23,CHEMBL2159
NME1,CHEMBL2159
NM23B,CHEMBL2160
NME2,CHEMBL2160
DAPK3,CHEMBL2468
ZIPK,CHEMBL2468
HLA-DRB3,CHEMBL3460
GSTO2,CHEMBL2161
UCK2,CHEMBL2469
UMPK,CHEMBL2469
HYRC,CHEMBL3142
HYRC1,CHEMBL3142
PRKDC,CHEMBL3142
Cnr2,CHEMBL2470
Mc4r,CHEMBL3719
map,CHEMBL3423
KLK2,CHEMBL2442
KLK7,CHEMBL2443
PRSS6,CHEMBL2443
SCCE,CHEMBL2443
LIPF,CHEMBL1796
CMA1,CHEMBL4068
CYH,CHEMBL4068
CYM,CHEMBL4068
DPEP1,CHEMBL2626
RDP,CHEMBL2626
Dbp,CHEMBL2163
Gc,CHEMBL2163
Crhr,CHEMBL2446
Crhr1,CHEMBL2446
AGPAT1,CHEMBL3583
G15,CHEMBL3583
PPP1A,CHEMBL2164
PPP1CA,CHEMBL2164
Drd4,CHEMBL2574
DCK,CHEMBL2447
PDF,CHEMBL4647
PDF1A,CHEMBL4647
def,CHEMBL4976
fms,CHEMBL4976
DPYS,CHEMBL2465
HRAS,CHEMBL2167
HRAS1,CHEMBL2167
DFR1,CHEMBL2329
DHFR,CHEMBL2575
DFR1,CHEMBL2576
CD23A,CHEMBL2940
CLEC4J,CHEMBL2940
FCE2,CHEMBL2940
FCER2,CHEMBL2940
IGEBF,CHEMBL2940
FGF1,CHEMBL2120
FGFA,CHEMBL2120
ALOX5AP,CHEMBL4550
FLAP,CHEMBL4550
FOLR,CHEMBL2121
FOLR1,CHEMBL2121
GAPC,CHEMBL4137
GGPS1,CHEMBL4769
SDH1,CHEMBL2578
Grb2,CHEMBL4830
Sstr2,CHEMBL2978
St1a1,CHEMBL4886
Sult1a1,CHEMBL4886
HRH2,CHEMBL2882
Ste,CHEMBL4831
GTF2A1,CHEMBL4832
TF2A1,CHEMBL4832
tat,CHEMBL4609
MAPK11,CHEMBL3961
PRKM11,CHEMBL3961
SAPK2,CHEMBL3961
SAPK2B,CHEMBL3961
PRSS3,CHEMBL4551
PRSS4,CHEMBL4551
TRY3,CHEMBL4551
TRY4,CHEMBL4551
FLOT1,CHEMBL4833
RFC1,CHEMBL4833
SLC19A1,CHEMBL4833
HST,CHEMBL2077
STD,CHEMBL2077
SULT2A1,CHEMBL2077
TK1,CHEMBL2883
PLA2G4C,CHEMBL4834
CASP3,CHEMBL2334
CPP32,CHEMBL2334
CRABP1,CHEMBL2079
RBP5,CHEMBL2079
ERR1,CHEMBL3429
ESRL1,CHEMBL3429
ESRRA,CHEMBL3429
NR3B1,CHEMBL3429
PAFAH,CHEMBL3514
PLA2G7,CHEMBL3514
CA3,CHEMBL2885
LCK,CHEMBL258
LDHA,CHEMBL4835
MC4R,CHEMBL259
NPY4R,CHEMBL4877
PPYR1,CHEMBL4877
BMP1,CHEMBL3898
PCOLC,CHEMBL3898
PIN4,CHEMBL4923
CYP1B1,CHEMBL4878
FABP2,CHEMBL4879
FABPI,CHEMBL4879
envA,CHEMBL3855
lpxC,CHEMBL3855
HPRT,CHEMBL2360
HPRT1,CHEMBL2360
KCNE1,CHEMBL4872
PGK1,CHEMBL2886
PGKA ,CHEMBL2886
TPI,CHEMBL4880
TPI1,CHEMBL4880
PON,CHEMBL3167
PON1,CHEMBL3167
HBA1,CHEMBL2887
HBA2,CHEMBL2887
GST1,CHEMBL2081
GSTM1,CHEMBL2081
ADH5,CHEMBL4116
ADHX,CHEMBL4116
FDH,CHEMBL4116
ALDH1B1,CHEMBL4881
ALDH5,CHEMBL4881
ALDHX,CHEMBL4881
CYP2C8,CHEMBL3721
GPRC1C,CHEMBL2888
GRM3,CHEMBL2888
MGLUR3,CHEMBL2888
GST4,CHEMBL4589
GSTM2,CHEMBL4589
NMOR2,CHEMBL3959
NQO2,CHEMBL3959
PDHB,CHEMBL4882
PHE1B,CHEMBL4882
ATP6B2,CHEMBL4798
ATP6V1B2,CHEMBL4798
PDE1A,CHEMBL3421
Kcnq2,CHEMBL2985
MO3,CHEMBL4883
PLAUR,CHEMBL4883
UPAR,CHEMBL4883
SSTR4,CHEMBL1853
NK2R,CHEMBL2327
NKNAR,CHEMBL2327
TAC2R,CHEMBL2327
TACR2,CHEMBL2327
ADK,CHEMBL3589
CA6,CHEMBL3025
CASP2,CHEMBL4884
ICH1,CHEMBL4884
NEDD2,CHEMBL4884
CSBP,CHEMBL260
CSBP1,CHEMBL260
CSBP2,CHEMBL260
CSPB1,CHEMBL260
MAPK14,CHEMBL260
MXI2,CHEMBL260
SAPK2A,CHEMBL260
FABP4,CHEMBL2083
GALNR,CHEMBL4894
GALNR1,CHEMBL4894
GALR1,CHEMBL4894
ADK2,CHEMBL4938
AK2,CHEMBL4938
ASGR1,CHEMBL2084
CLEC4H1,CHEMBL2084
CA1,CHEMBL261
GSK3B,CHEMBL262
KCNA5,CHEMBL4306
LDHB,CHEMBL4940
GLIF,CHEMBL2085
MIF,CHEMBL2085
MMIF,CHEMBL2085
MSAP,CHEMBL4941
MTAP,CHEMBL4941
P2RX5,CHEMBL4942
P2X5,CHEMBL4942
POLB,CHEMBL2392
PRKACB,CHEMBL2918
KLK12,CHEMBL4943
KLKL5 ,CHEMBL4943
HTR7,CHEMBL3155
F8,CHEMBL3143
F8C,CHEMBL3143
CELA1,CHEMBL3517
ELA1,CHEMBL3517
PKC2,CHEMBL3438
PRKCZ,CHEMBL3438
PCSK4,CHEMBL4861
Adh1,CHEMBL4862
Adh-1,CHEMBL4862
Ca2,CHEMBL4706
XPNPEP1,CHEMBL3782
XPNPEPL1,CHEMBL3782
CHAT,CHEMBL4039
MMP26,CHEMBL4707
GABBR1,CHEMBL2064
GPRC3A,CHEMBL2064
Rnpep,CHEMBL2452
Npy4r,CHEMBL4827
Ppyr1,CHEMBL4827
Arpp19,CHEMBL2170
MAP2K6,CHEMBL2171
MEK6,CHEMBL2171
MKK6,CHEMBL2171
PRKMK6,CHEMBL2171
SKK3,CHEMBL2171
CASP8,CHEMBL3776
MCH5,CHEMBL3776
tmk,CHEMBL2361
nadE,CHEMBL4615
MLCK,CHEMBL2428
MLCK1,CHEMBL2428
MYLK,CHEMBL2428
MYLK1,CHEMBL2428
Ca7,CHEMBL2216
Car7,CHEMBL2216
Gstt1,CHEMBL2423
LOC100912604,CHEMBL2429
Srm,CHEMBL2429
Ltc4s,CHEMBL2172
Cact,CHEMBL2173
Slc25a20,CHEMBL2173
FKBP12.6,CHEMBL2430
FKBP1B,CHEMBL2430
FKBP1L,CHEMBL2430
FKBP9,CHEMBL2430
OTK4,CHEMBL2430
PTPN2,CHEMBL3807
PTPT,CHEMBL3807
TRPV1,CHEMBL4794
VR1,CHEMBL4794
CSNK1G1,CHEMBL2426
BEK,CHEMBL4142
FGFR2,CHEMBL4142
KGFR,CHEMBL4142
KSAM,CHEMBL4142
BFGFR,CHEMBL3650
CEK,CHEMBL3650
FGFBR,CHEMBL3650
FGFR1,CHEMBL3650
FLG,CHEMBL3650
FLT2,CHEMBL3650
HBGFR,CHEMBL3650
Glo1,CHEMBL2175
Cdipt,CHEMBL2176
Pis1,CHEMBL2176
Agtr1,CHEMBL263
Agtr1b,CHEMBL263
At1b,CHEMBL263
Gnrhr,CHEMBL3066
P2rx3,CHEMBL4824
AMPK,CHEMBL3847
PRKAB1,CHEMBL3847
KRS1,CHEMBL4708
MST2,CHEMBL4708
STK3,CHEMBL4708
GLO1,CHEMBL2424
INMT,CHEMBL2131
GPCR97,CHEMBL264
HRH3,CHEMBL264
PBRS,CHEMBL5139
TSPO,CHEMBL5139
Adrb2,CHEMBL3707
Adrb2r,CHEMBL3707
Mcpt9,CHEMBL2132
Il2r,CHEMBL3287
Il2ra,CHEMBL3287
Npr3,CHEMBL4711
Ryr1,CHEMBL2133
Bzrp,CHEMBL2149
Mbr,CHEMBL2149
Tspo,CHEMBL2149
Cnr2,CHEMBL5373
Erg9,CHEMBL4778
Fdft1,CHEMBL4778
Ggta1,CHEMBL2479
Ggta-1,CHEMBL2479
Lck,CHEMBL2480
Lsk-t,CHEMBL2480
Oprs1,CHEMBL3465
Sigmar1,CHEMBL3465
Nr1b2,CHEMBL3266
Rarb,CHEMBL3266
AD4,CHEMBL3708
PS2,CHEMBL3708
PSEN2,CHEMBL3708
PSNL2,CHEMBL3708
STM2,CHEMBL3708
Drd1,CHEMBL265
Drd1a,CHEMBL265
Tt,CHEMBL2151
Ttr,CHEMBL2151
Cyp2d2,CHEMBL2483
Cyp2d26,CHEMBL2483
Cyp2d-26,CHEMBL2483
Ghrhr,CHEMBL3709
Grfr,CHEMBL3709
Slc18a2,CHEMBL4828
Svat,CHEMBL4828
Vmat2,CHEMBL4828
G6pc,CHEMBL4759
G6pt,CHEMBL4759
Fkbp1,CHEMBL2095
Fkbp1a,CHEMBL2095
Ak3,CHEMBL4799
Ak3l1,CHEMBL4799
Akl3l,CHEMBL4799
UCRC ,CHEMBL2388
UQCR10,CHEMBL2388
Oprd1,CHEMBL3222
KIAA0094,CHEMBL2474
METAP1,CHEMBL2474
CPB2,CHEMBL3419
Ahcy,CHEMBL2389
Gsta1,CHEMBL2390
Hsd11,CHEMBL2391
Hsd11b1,CHEMBL2391
PTGER3,CHEMBL3710
ACAC,CHEMBL3351
ACACA,CHEMBL3351
ACC1,CHEMBL3351
ACCA,CHEMBL3351
PCP,CHEMBL2335
PRCP,CHEMBL2335
CDC25A,CHEMBL3775
PAO ,CHEMBL2105
PAOX,CHEMBL2105
PRKAG1,CHEMBL2393
B3galt4,CHEMBL2096
Cdk2ap1-ps1,CHEMBL2096
Col11a2,CHEMBL2096
Hsd17b8,CHEMBL2096
Kifc1,CHEMBL2096
LOC224733l-1,CHEMBL2096
LOC224733l-2,CHEMBL2096
Pfdn6,CHEMBL2096
Phf1,CHEMBL2096
RT1-A1,CHEMBL2096
RT1-A3,CHEMBL2096
RT1-Hb,CHEMBL2096
Rxrb,CHEMBL2096
Sacm2l-ps2,CHEMBL2096
Sec61-ps,CHEMBL2096
Cda,CHEMBL2110
Cdd,CHEMBL2110
Smstr5,CHEMBL2733
Sstr5,CHEMBL2733
Np,CHEMBL2395
Pnp,CHEMBL2395
Mmp13,CHEMBL4944
Npy1r,CHEMBL2587
PLA2G2C,CHEMBL2097
CRABP1,CHEMBL4945
